ID_HECHO,FECHA,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD,ROL_VICTIMA,RANGO_ETARIO
LC-2019-0017186,2019-01-09,,MASCULINO,24.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0017460,2019-01-09,,MASCULINO,35.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0017504,2019-01-09,,MASCULINO,,LEVEMENTE HERIDO,,
LC-2019-0017514,2019-01-09,,MASCULINO,70.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0017514,2019-01-09,,MASCULINO,70.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0017561,2019-01-09,,MASCULINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0018006,2019-01-09,,MASCULINO,24.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0018207,2019-01-09,,FEMENINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0018425,2019-01-09,,MASCULINO,38.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0018474,2019-01-09,,MASCULINO,58.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0018500,2019-01-09,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0018518,2019-01-09,,MASCULINO,41.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0018592,2019-01-09,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0018630,2019-01-09,,FEMENINO,,LEVEMENTE HERIDO,,
LC-2019-0018751,2019-01-09,,MASCULINO,43.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0021352,2019-01-09,,MASCULINO,18.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0022439,2019-01-09,,MASCULINO,40.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0030754,2019-01-09,,MASCULINO,31.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0031883,2019-01-09,,FEMENINO,55.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0018873,2019-01-10,,MASCULINO,49.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0019243,2019-01-10,,MASCULINO,29.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0020257,2019-01-10,,FEMENINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
LC-2019-0020260,2019-01-10,,MASCULINO,26.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0020420,2019-01-10,,,,LEVEMENTE HERIDO,,
LC-2019-0020451,2019-01-10,,MASCULINO,54.0,LEVEMENTE HERIDO,,5_ 50 a 59 años
LC-2019-0020496,2019-01-10,,FEMENINO,62.0,LEVEMENTE HERIDO,,6_ 60 años o mas
LC-2019-0020569,2019-01-10,,MASCULINO,24.0,LEVEMENTE HERIDO,,2_ 18 a 29 años
LC-2019-0020951,2019-01-10,,MASCULINO,12.0,LEVEMENTE HERIDO,,1_ 0 a 17 años
LC-2019-0020989,2019-01-10,,MASCULINO,33.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0021079,2019-01-10,,MASCULINO,34.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0021335,2019-01-10,,MASCULINO,39.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0021415,2019-01-10,,MASCULINO,31.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0093543,2019-01-10,,MASCULINO,36.0,LEVEMENTE HERIDO,,3_ 30 a 39 años
LC-2019-0021365,2019-01-11,,MASCULINO,42.0,LEVEMENTE HERIDO,,4_ 45 a 49 años
